player_id,name,team,statistic,value,year,league
younger03,Eric Young,Colorado Rockies,Stolen Bases,46.0,2013,National
goldspa01,Paul Goldschmidt,Arizona Diamondbacks,Total Bases,332.0,2013,National
spande01,Denard Span,Washington Nationals,Triples,11.0,2013,National
santaca01,Carlos Santana,Cleveland Indians,Base on Balls,113.0,2014,American
altuvjo01,Jose Altuve,Houston Astros,Batting Average,0.341,2014,American
cabremi01,Miguel Cabrera,Detroit Tigers,Doubles,52.0,2014,American
altuvjo01,Jose Altuve,Houston Astros,Hits,225.0,2014,American
cruzne02,Nelson Cruz,Baltimore Orioles,Home Runs,40.0,2014,American
martivi01,Victor Martinez,Detroit Tigers,On Base Percentage,0.409,2014,American
troutmi01,Mike Trout,Los Angeles Angels,RBI,111.0,2014,American
troutmi01,Mike Trout,Los Angeles Angels,Runs,115.0,2014,American
abreujo02,Jose Abreu,Chicago White Sox,Slugging Average,0.581,2014,American
altuvjo01,Jose Altuve,Chicago White Sox,Stolen Bases,56.0,2014,American
troutmi01,Mike Trout,Los Angeles Angels,Total Bases,338.0,2014,American
bournmi01,Michael Bourn,Cleveland Indians,Triples,10.0,2014,American
eatonad01,Adam Eaton,Chicago White Sox,Triples,10.0,2014,American
carpema01,Matt Carpenter,St. Louis Cardinals,Base on Balls,95.0,2014,National
morneju01,Justin Morneau,Colorado Rockies,Batting Average,0.319,2014,National
lucrojo01,Jonathan Lucroy,Milwaukee Brewers,Doubles,53.0,2014,National
reverbe01,Ben Revere,Philadelphia Phillies,Hits,184.0,2014,National
spande01,Denard Span,Washington Nationals,Hits,184.0,2014,National
stantmi03,Giancarlo Stanton,Miami Marlins,Home Runs,37.0,2014,National
mccutan01,Andrew Mc Cutchen,Pittsburgh Pirates,On Base Percentage,0.41,2014,National
gonzaad01,Adrian Gonzalez,Los Angeles Dodgers,RBI,116.0,2014,National
rendoan01,Anthony Rendon,Washington Nationals,Runs,111.0,2014,National
stantmi03,Giancarlo Stanton,Miami Marlins,Slugging Average,0.555,2014,National
gordode01,Dee Strange-Gordon,Los Angeles Dodgers,Stolen Bases,64.0,2014,National
stantmi03,Giancarlo Stanton,Miami Marlins,Total Bases,299.0,2014,National
gordode01,Dee Strange-Gordon,Los Angeles Dodgers,Triples,12.0,2014,National
bautijo02,Jose Bautista,Toronto Blue Jays,Base on Balls,110.0,2015,American
cabremi01,Miguel Cabrera,Detroit Tigers,Batting Average,0.338,2015,American
brantmi02,Michael Brantley,Cleveland Indians,Doubles,45.0,2015,American
altuvjo01,Jose Altuve,Houston Astros,Hits,200.0,2015,American
davisch02,Chris Davis,Baltimore Orioles,Home Runs,47.0,2015,American
cabremi01,Miguel Cabrera,Detroit Tigers,On Base Percentage,0.44,2015,American
donaljo02,Josh Donaldson,Toronto Blue Jays,RBI,123.0,2015,American
donaljo02,Josh Donaldson,Toronto Blue Jays,Runs,122.0,2015,American
troutmi01,Mike Trout,Los Angeles Angels,Slugging Average,0.59,2015,American
altuvjo01,Jose Altuve,Houston Astros,Stolen Bases,38.0,2015,American
donaljo02,Josh Donaldson,Toronto Blue Jays,Total Bases,352.0,2015,American
rosared01,Eddie Rosario,Minnesota Twins,Triples,15.0,2015,American
vottojo01,Joey Votto,Cincinnati Reds,Base on Balls,143.0,2015,National
gordode01,Dee Gordon,Miami Marlins,Batting Average,0.333,2015,National
carpema01,Matt Carpenter,St. Louis Cardinals,Doubles,44.0,2015,National
gordode01,Dee Gordon,Miami Marlins,Hits,205.0,2015,National
