Player_ID,Name,Team,Statistic,Value,Year
merriwh01,Whit Merrifield,Kansas City Royals,Hits,206.0,2019
solerjo01,Jorge Soler,Kansas City Royals,Home Runs,48.0,2019
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,0.438,2019
abreujo02,Jose Abreu,Chicago White Sox,RBI,123.0,2019
bettsmo01,Mookie Betts,Boston Red Sox,Runs,135.0,2019
troutmi01,Mike Trout,Los Angeles Angels,Slugging Average,0.645,2019
smithma05,Mallex Smith,Tampa Bay Rays,Stolen Bases,46.0,2019
deverra01,Rafael Devers,Boston Red Sox,Total Bases,359.0,2019
doziehu01,Hunter Dozier,Kansas City Royals,Triples,10.0,2019
merriwh01,Whit Merrifield,Kansas City Royals,Triples,10.0,2019
mondera02,Adalberto Mondesi,Kansas City Royals,Triples,10.0,2019
santaca01,Carlos Santana,Cleveland Indians,Base on Balls,47.0,2020
lemahdj01,DJ LeMahieu,New York Yankees,Batting Average,0.364,2020
hernace02,Cesar Hernandez,Cleveland Indians,Doubles,20.0,2020
abreujo02,Jose Abreu,Chicago White Sox,Hits,76.0,2020
voitlu01,Luke Voit,New York Yankees,Home Runs,22.0,2020
lemahdj01,DJ LeMahieu,New York Yankees,On Base Percentage,0.421,2020
abreujo02,Jose Abreu,Chicago White Sox,RBI,60.0,2020
anderti01,Tim Anderson,Chicago White Sox,Runs,45.0,2020
ramirjo01,Jose Ramirez,Cleveland Indians,Runs,45.0,2020
abreujo02,Jose Abreu,Chicago White Sox,Slugging Average,0.617,2020
mondera02,Adalberto Mondesi,Kansas City Royals,Stolen Bases,24.0,2020
abreujo02,Jose Abreu,Chicago White Sox,Total Bases,148.0,2020
tuckeky01,Kyle Tucker,Houston Astros,Triples,6.0,2020
gallojo01,Joey Gallo,Texas Rangers,Base on Balls,111.0,2021
gurriyu01,Yuli Gurriel,Houston Astros,Batting Average,0.319,2021
candeje01,Jeimer Candelario,Detroit Tigers,Doubles,42.0,2021
martijd02,J.D. Martinez,Boston Red Sox,Doubles,42.0,2021
merriwh01,Whit Merrifield,Kansas City Royals,Doubles,42.0,2021
bichebo01,Bo Bichette,Toronto Blue Jays,Hits,191.0,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,Home Runs,48.0,2021
perezsa02,Salvador Perez,Kansas City Royals,Home Runs,48.0,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,On Base Percentage,0.401,2021
perezsa02,Salvador Perez,Kansas City Royals,RBI,121.0,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,Runs,123.0,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,Slugging Average,0.601,2021
merriwh01,Whit Merrifield,Kansas City Royals,Stolen Bases,40.0,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,Total Bases,363.0,2021
ohtansh01,Shohei Ohtani,Los Angeles Angels,Triples,8.0,2021
judgeaa01,Aaron Judge,New York Yankees,Base on Balls,111.0,2022
arraelu01,Luis Arraez,Minnesota Twins,Batting Average,0.316,2022
ramirjo01,José Ramírez,Cleveland Guardians,Doubles,44.0,2022
bichebo01,Bo Bichette,Toronto Blue Jays,Hits,189.0,2022
judgeaa01,Aaron Judge,New York Yankees,Home Runs,62.0,2022
judgeaa01,Aaron Judge,New York Yankees,On Base Percentage,0.425,2022
judgeaa01,Aaron Judge,New York Yankees,RBI,131.0,2022
judgeaa01,Aaron Judge,New York Yankees,Runs,133.0,2022
judgeaa01,Aaron Judge,New York Yankees,Slugging Average,0.686,2022
mateojo01,Jorge Mateo,Baltimore Orioles,Stolen Bases,35.0,2022
judgeaa01,Aaron Judge,New York Yankees,Total Bases,391.0,2022
rosarar01,Amed Rosario,Cleveland Guardians,Triples,9.0,2022
crawfjp01,J.P. Crawford,Seattle Mariners,Base on Balls,94.0,2023
diazya01,Yandy Díaz,Tampa Bay Rays,Batting Average,0.33,2023
seageco01,Corey Seager,Texas Rangers,Doubles,42.0,2023
semiema01,Marcus Semien,Texas Rangers,Hits,185.0,2023
ohtansh01,Shohei Ohtani,Los Angeles Angels,Home Runs,44.0,2023
ohtansh01,Shohei Ohtani,Los Angeles Angels,On Base Percentage,0.412,2023
tuckeky01,Kyle Tucker,Houston Astros,RBI,112.0,2023
semiema01,Marcus Semien,Texas Rangers,Runs,122.0,2023
ohtansh01,Shohei Ohtani,Los Angeles Angels,Slugging Average,0.654,2023
ruizes01,Esteury Ruiz,Oakland Athletics,Stolen Bases,67.0,2023
ohtansh01,Shohei Ohtani,Los Angeles Angels,Total Bases,325.0,2023
wittbo02,Bobby Witt Jr.,Kansas City Royals,Triples,11.0,2023
judgeaa01,Aaron Judge,New York Yankees,Base on Balls,133.0,2024
wittbo02,Bobby Witt Jr.,Kansas City Royals,Batting Average,0.332,2024
duranja01,Jarren Duran,Boston Red Sox,Doubles,48.0,2024
wittbo02,Bobby Witt Jr.,Kansas City Royals,Hits,211.0,2024
judgeaa01,Aaron Judge,New York Yankees,Home Runs,58.0,2024
judgeaa01,Aaron Judge,New York Yankees,On Base Percentage,0.458,2024
judgeaa01,Aaron Judge,New York Yankees,RBI,144.0,2024
sotoju01,Juan Soto,New York Yankees,Runs,128.0,2024
judgeaa01,Aaron Judge,New York Yankees,Slugging Average,0.701,2024
cabaljo01,Jose Caballero,Tampa Bay Rays,Stolen Bases,44.0,2024
judgeaa01,Aaron Judge,New York Yankees,Total Bases,392.0,2024
duranja01,Jarren Duran,Boston Red Sox,Triples,14.0,2024
